pincode,district,latitude,longitude
134205,PANCHKULA,30.378183,76.776692
134999,NAN,30.685191,76.8402533
135001,YAMUNANAGAR,30.1339444,77.29075
135002,YAMUNANAGAR,30.3781888,76.7766874
135003,YAMUNANAGAR,30.244312,77.234049
135004,YAMUNANAGAR,30.3781868,76.7766894
135021,YAMUNANAGAR,30.3781858,76.77669
135101,YAMUNANAGAR,30.3781848,76.7766914
135102,YAMUNANAGAR,30.378,76.776
135103,YAMUNANAGAR,30.371636,77.455855
135106,YAMUNANAGAR,30.3781868,76.7766894
135133,YAMUNANAGAR,30.031234,77.210336
136020,KAITHAL,29.875369,76.606611
136021,KAITHAL,29.846383,76.663193
136026,KAITHAL,29.762047,76.559555
136027,KAITHAL,29.799859,76.4173
136030,KURUKSHETRA,29.93617,76.551097
136033,KAITHAL,29.799859,76.4173
136034,KAITHAL,29.799859,76.4173
136035,KAITHAL,30.0383333,76.2984167
136038,KURUKSHETRA,29.5702778,76.8703056
136042,KAITHAL,29.802463,76.560383
136043,KAITHAL,29.670538,76.5168
136044,KAITHAL,29.57595,76.484933
136117,KAITHAL,29.674897,76.256273
136118,KURUKSHETRA,29.973217,76.8469722
136119,KURUKSHETRA,29.955549,76.812926
136128,KURUKSHETRA,29.981417,76.589277
136129,KURUKSHETRA,30.115686,76.666405
136130,KURUKSHETRA,29.973217,76.830346
136131,KURUKSHETRA,29.973217,76.830346
136132,KURUKSHETRA,29.987047,77.041004
136134,KURUKSHETRA,29.9695,76.8782
136135,KURUKSHETRA,29.973217,76.830346
136136,KURUKSHETRA,30.166519,76.709604
136156,KURUKSHETRA,30.084325,76.987348
140001,RUPNAGAR,30.9812222,76.5196667
140101,RUPNAGAR,30.692051,76.69841
140102,RUPNAGAR,30.9666111,76.3715277
140103,DADRA & NAGAR HAVELI,30.9666111,76.3715277
140108,RUPNAGAR,30.692051,76.69841
140109,DADRA & NAGAR HAVELI,30.9666111,76.3715277
140110,DADRA & NAGAR HAVELI,30.8445,76.6624166
140111,RUPNAGAR,30.9666111,76.3715277
140112,RUPNAGAR,30.9666111,76.3715277
140113,RUPNAGAR,30.9666111,76.3715277
140114,RUPNAGAR,31.0990278,76.6091944
140115,RUPNAGAR,31.1848333,76.5674722
140116,RUPNAGAR,30.9666111,76.3715277
140117,RUPNAGAR,30.9666111,76.3715277
140118,RUPNAGAR,30.692051,76.69841
140119,RUPNAGAR,30.692051,76.69841
140123,RUPNAGAR,31.2709167,76.4869722
140124,RUPNAGAR,30.692051,76.69841
140125,RUPNAGAR,30.692051,76.69841
140126,RUPNAGAR,30.9666111,76.3715277
140127,RUPNAGAR,30.9666111,76.3715277
140128,RUPNAGAR,30.9666111,76.3715277
140133,RUPNAGAR,30.9666111,76.3715277
140201,DADRA & NAGAR HAVELI,30.692051,76.69841
140301,DADRA & NAGAR HAVELI,30.9666111,76.3715277
140306,DADRA & NAGAR HAVELI,30.692051,76.69841
140307,DADRA & NAGAR HAVELI,30.6951111,76.6647778
140308,DADRA & NAGAR HAVELI,30.692051,76.69841
140401,PATIALA,30.486038,76.592572
140402,PATIALA,30.483997,76.593948
140405,FATEHGARH SAHIB,30.61,76.31
140406,FATEHGARH SAHIB,30.57,76.4
140407,FATEHGARH SAHIB,30.648067,76.392631
140408,FATEHGARH SAHIB,30.61,76.5
140412,FATEHGARH SAHIB,30.73,76.44
140413,DADRA & NAGAR HAVELI,30.9666111,76.3715277
140417,PATIALA,30.48,76.72
140501,DADRA & NAGAR HAVELI,30.692051,76.69841
140506,DADRA & NAGAR HAVELI,30.692051,76.69841
140507,DADRA & NAGAR HAVELI,30.692051,76.69841
140601,DADRA & NAGAR HAVELI,30.553986,76.716726
140602,FATEHGARH SAHIB,30.42,76.48
140603,DADRA & NAGAR HAVELI,30.692051,76.69841
140604,DADRA & NAGAR HAVELI,30.6703333,76.8320556
140701,PATIALA,30.39,76.59
140702,PATIALA,30.15,76.63
140802,FATEHGARH SAHIB,30.76,76.4
140901,DADRA & NAGAR HAVELI,30.692051,76.69841
141001,LUDHIANA,30.9026389,75.83775
141002,LUDHIANA,30.8949722,75.8413611
141003,LUDHIANA,30.8656777,75.86405
141004,LUDHIANA,30.9023889,75.8146944
141006,LUDHIANA,30.8589167,75.8616389
141007,LUDHIANA,30.96,75.86
141008,LUDHIANA,30.95,75.77
141010,LUDHIANA,30.8975666,75.8875416
141011,LUDHIANA,30.9026,75.8377
141012,LUDHIANA,30.877874,75.780026
141013,LUDHIANA,30.8593611,75.8317778
141014,LUDHIANA,30.8682222,75.9192222
141015,LUDHIANA,30.96,75.92
141016,LUDHIANA,30.848,75.8905
141101,LUDHIANA,29.72456,75.6697667
141102,LUDHIANA,30.84853,75.712434
141103,LUDHIANA,30.798904,75.721158
141104,LUDHIANA,31.989502,75.045052
141105,LUDHIANA,30.7525916,75.7023111
141106,LUDHIANA,30.7642861,75.6514138
141107,LUDHIANA,30.752087,75.858119
141108,LUDHIANA,30.673706,75.683353
141109,LUDHIANA,30.604724,75.645539
141110,LUDHIANA,30.9192,75.616444
141112,LUDHIANA,30.927926,75.997118
141113,LUDHIANA,17.398377,78.558265
