feature,importance
city_Sangrur,0.00022890218071602522
device_model_CPH1901,0.00022876324952868194
device_model_SM-M315F,0.0002275931577518713
city_Kushinagar,0.00022757684289793963
id_LOA-KT93JMTT,0.00021863043719042244
var_74_L-Very High Risk,0.00021587551588005637
state_Maharashtra,0.00021568483903091045
id_LOA-9AM66TYS,0.00021510996895609622
city_Theni,0.00021126161107676723
State_Andhra Pradesh,0.00020965558175558056
device_manufacturer_xiaomi,0.00020196138009289643
device_manufacturer_vivo,0.00019315851398686527
state_Uttarakhand,0.00019069724294503077
city_Lucknow,0.00018156013494287978
education_score_77.13313069,0.0001811366028408769
id_LOA-Y9LU2J72,0.00018089548472330588
device_model_SM-M515F,0.00017435900933691515
id_LOA-1AMUY4XQ,0.00017257759521328015
gender_MALE,0.00017149596063237247
id_LOA-JV5EB4B7,0.00017148628028602352
var_72,0.00017129910451325637
id_LOA-CQS9VTH8,0.00017061476251771672
id_LOA-L8AK5P7B,0.00016779689175050165
device_model_22127PC95I,0.0001662795904780823
city_Bangalore,0.00016344812617849063
city_Kollam,0.00016268751908375372
var_74_D-Very Low Risk,0.00015756702140483573
city_THANE,0.00015732548482444208
id_LOA-4UYCJGT1,0.0001561069658916446
device_model_CPH2527,0.00015596761083503925
household_size_4.4284627,0.00015462835081585724
state_Punjab,0.00015204266027954365
state_Uttar Pradesh,0.00014882351307506835
id_LOA-YGB5Y4S7,0.00014855231435112338
household_size_5.996466833,0.00014596392776676688
id_LOA-NGKEAH2A,0.00014527909554042516
id_LOA-6Z4DVS5B,0.00014500650195942087
var_74_J-High Risk,0.00014487895680825015
state_Jammu and Kashmir,0.0001442440921983436
education_score_75.92967638,0.00014316518083907592
device_model_23076RN4BI,0.00014243625186267881
district_WEST,0.0001419402236054608
device_model_22101316UP,0.0001409692256283962
district_DADRA & NAGAR HAVELI,0.00013869382640953603
id_NUJMAID9,0.00013827931700774888
city_Pune,0.00013777600957911516
id_LOA-BZSV25HM,0.00013522658276564497
device_manufacturer_oppo,0.00013315139349559142
city_OSMANABAD,0.00013146481925035449
id_LOA-T5Q1RFC1,0.00012894771401795766
id_ESHNZ6KG,0.00012738994686351419
education_score_69.2834891,0.0001260783321191681
district_LUCKNOW,0.00012598995159548052
district_EAST GARO HILLS,0.00012592305612530707
household_size_5.74734493,0.00012404220882104847
device_model_V2130,0.0001227435650431408
id_LOA-YKVNMZ1S,0.00012264780540247004
id_LOA-KD71JRPB,0.0001221796609923555
State_Goa,0.0001210025860795897
district_GAUTAM BUDDHA NAGAR,0.00012042468259287068
state_Megalaya,0.0001196707513207216
id_LOA-4XCGGMMQ,0.00011839345034269841
district_DHARWAD,0.00011788065404112882
city_Varanasi,0.00011751610953967286
device_model_RMX2061,0.0001154546671878347
